,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
292,bre,6,60,0.1,-0.4194535617539646,1000000,1228
293,bre,6,70,0.1,-0.48947486277003605,1000000,1240
294,bre,6,80,0.1,-0.5732202355403839,1000000,1157
295,bre,6,90,0.1,-0.6350499280830664,1000000,1146
296,bre,6,100,0.1,-0.7295927260828637,1000000,1102
297,bre,6,1,1.0,-0.07133315961989935,1000000,288
298,bre,6,10,1.0,-0.12581713730946484,1000000,794
299,bre,6,20,1.0,-0.192434549515744,1000000,1001
300,bre,6,30,1.0,-0.2743416094734261,1000000,1127
301,bre,6,40,1.0,-0.36978599990584876,1000000,1173
302,bre,6,50,1.0,-0.440245147783342,1000000,1209
303,bre,6,60,1.0,-0.4872034659324762,1000000,1228
304,bre,6,70,1.0,-0.5641676490430801,1000000,1240
305,bre,6,80,1.0,-0.6432489426404372,1000000,1157
306,bre,6,90,1.0,-0.7075615305232301,1000000,1146
307,bre,6,100,1.0,-0.7964902424007422,1000000,1102
308,mul,0,1,0.001,-2.222907762436424,1,1
309,mul,0,10,0.001,-2.222907762436424,1,1
310,mul,0,20,0.001,-2.222907762436424,1,1
311,mul,0,30,0.001,-2.222907762436424,1,1
312,mul,0,40,0.001,-2.222907762436424,1,1
313,mul,0,50,0.001,-2.222907762436424,1,1
314,mul,0,60,0.001,-2.222907762436424,1,1
315,mul,0,70,0.001,-2.222907762436424,1,1
316,mul,0,80,0.001,-2.222907762436424,1,1
317,mul,0,90,0.001,-2.222907762436424,1,1
318,mul,0,100,0.001,-2.222907762436424,1,1
319,mul,0,1,0.01,-2.222907762165836,1,1
320,mul,0,10,0.01,-2.222907762165836,1,1
321,mul,0,20,0.01,-2.222907762165836,1,1
322,mul,0,30,0.01,-2.222907762165836,1,1
323,mul,0,40,0.01,-2.222907762165836,1,1
324,mul,0,50,0.01,-2.222907762165836,1,1
325,mul,0,60,0.01,-2.222907762165836,1,1
326,mul,0,70,0.01,-2.222907762165836,1,1
327,mul,0,80,0.01,-2.222907762165836,1,1
