,sim,alpha,corpusSize,trueK,bestK,best_ll,correct,entropy,nStates,way,bestLag
177,1,1.0,50,2,1,-0.2698449675201279,0,0.7090688815608702,3,lagged,20.0
178,1,1.0,100,2,2,-0.2300700256649005,1,0.5054274511450485,3,semicol,
179,1,1.0,100,2,1,-0.23565754193201638,0,0.6344248474147294,3,lagged,20.0
180,1,0.1,10,2,2,-0.21788314119262783,1,0.1565269940146388,4,semicol,
181,1,0.1,10,2,2,-0.291656653830851,1,0.32637925382865507,4,lagged,50.0
182,1,0.1,50,2,2,-0.207725438202045,1,0.22258027895279986,4,semicol,
183,1,0.1,50,2,1,-0.1829093911587415,0,0.3185393666360037,4,lagged,50.0
184,1,0.1,100,2,2,-0.22651796170274863,1,0.21759423328020716,4,semicol,
185,1,0.1,100,2,2,-0.20020349419759376,1,0.1169998990198421,4,lagged,30.0
186,1,0.5,10,2,1,-0.18780657454158597,0,0.5409488368465156,4,semicol,
187,1,0.5,10,2,1,-0.24542219539713273,0,0.6358308363777138,4,lagged,0.0
188,1,0.5,50,2,2,-0.24749191801017342,1,0.6582142792895167,4,semicol,
189,1,0.5,50,2,1,-0.28388658996986693,0,0.6731002520738469,4,lagged,20.0
190,1,0.5,100,2,2,-0.24946639862596287,1,0.6128163902442396,4,semicol,
191,1,0.5,100,2,2,-0.2486241081504834,1,0.5749209519021546,4,lagged,20.0
192,1,1.0,10,2,2,-0.18002357946257203,1,0.7413569032430032,4,semicol,
193,1,1.0,10,2,1,-0.19774248075161702,0,0.6759484695516615,4,lagged,30.0
194,1,1.0,50,2,3,-0.25013525948543996,0,0.8035871622237807,4,semicol,
195,1,1.0,50,2,1,-0.26469529552990584,0,0.7654157866768632,4,lagged,30.0
196,1,1.0,100,2,2,-0.2215021584643071,1,0.679593634309361,4,semicol,
197,1,1.0,100,2,2,-0.22339439625636248,1,0.710083221506995,4,lagged,50.0
198,1,0.1,10,2,1,-0.29432061430134465,0,0.3277030447550815,5,semicol,
199,1,0.1,10,2,1,-0.2732199181878864,0,0.2875573298687915,5,lagged,20.0
200,1,0.1,50,2,2,-0.1967313254430101,1,0.22508963944391477,5,semicol,
201,1,0.1,50,2,1,-0.2584328749625167,0,0.3000485105127855,5,lagged,20.0
202,1,0.1,100,2,2,-0.2359214496119957,1,0.22399171123154338,5,semicol,
203,1,0.1,100,2,1,-0.2505452704272331,0,0.29989676344346294,5,lagged,50.0
204,1,0.5,10,2,2,-0.22233016659608612,1,0.6719876858384914,5,semicol,
205,1,0.5,10,2,1,-0.2444936844733327,0,0.6707536467886864,5,lagged,50.0
206,1,0.5,50,2,2,-0.2902312018514102,1,0.6774252863607133,5,semicol,
207,1,0.5,50,2,1,-0.2155821111701829,0,0.6764830164853229,5,lagged,30.0
208,1,0.5,100,2,2,-0.25559241325593923,1,0.6824771431075941,5,semicol,
209,1,0.5,100,2,1,-0.26820845441276203,0,0.6366320082606197,5,lagged,50.0
210,1,1.0,10,2,1,-0.3037263808772237,0,0.821480330870562,5,semicol,
